L,H,Do,WP,FW,led,TF,TW,Elastic Load
4000,700,560,56,216,488,20,9,178.4
4000,700,560,56,216,488,25,9,193.0
4000,700,560,56,216,488,15,12,230.8
4000,700,560,56,216,488,20,12,306.2
4000,700,560,56,216,488,25,12,381.0
4000,700,560,56,216,488,15,15,343.4
4000,700,560,56,216,488,20,15,433.0
4000,700,560,56,216,488,25,15,540.4
4000,700,560,162.4,216,276,15,9,180.7
4000,700,560,162.4,216,276,20,9,213.6
4000,700,560,162.4,216,276,25,9,228.2
4000,700,560,162.4,216,276,15,12,308.6
4000,700,560,162.4,216,276,20,12,384.9
4000,700,560,162.4,216,276,25,12,456.7
4000,700,560,162.4,216,276,15,15,450.3
4000,700,560,162.4,216,276,20,15,550.2
4000,700,560,162.4,216,276,25,15,659.1
4000,700,560,274.4,216,52,15,9,202.5
4000,700,560,274.4,216,52,20,9,226.6
4000,700,560,274.4,216,52,25,9,238.8
4000,700,560,274.4,216,52,15,12,354.3
4000,700,560,274.4,216,52,20,12,432.3
4000,700,560,274.4,216,52,25,12,495.6
4000,700,560,274.4,216,52,15,15,503.0
4000,700,560,274.4,216,52,20,15,615.9
4000,700,560,274.4,216,52,25,15,730.0
4000,700,467,46.7,216,224.5,15,9,145.7
4000,700,467,46.7,216,224.5,20,9,194.9
4000,700,467,46.7,216,224.5,25,9,215.3
4000,700,467,46.7,216,224.5,15,12,241.1
4000,700,467,46.7,216,224.5,20,12,318.3
4000,700,467,46.7,216,224.5,25,12,406.0
4000,700,467,46.7,216,224.5,15,15,363.9
4000,700,467,46.7,216,224.5,20,15,452.6
4000,700,467,46.7,216,224.5,25,15,564.0
4000,700,467,135.43,216,562.5,15,9,198.2
4000,700,467,135.43,216,562.5,20,9,259.9
4000,700,467,135.43,216,562.5,25,9,306.1
4000,700,467,135.43,216,562.5,15,12,330.9
4000,700,467,135.43,216,562.5,20,12,415.0
4000,700,467,135.43,216,562.5,25,12,511.6
4000,700,467,135.43,216,562.5,15,15,478.8
4000,700,467,135.43,216,562.5,20,15,585.3
4000,700,467,135.43,216,562.5,25,15,703.3
4000,700,467,228.83,216,374.5,15,9,223.0
4000,700,467,228.83,216,374.5,20,9,282.5
4000,700,467,228.83,216,374.5,25,9,322.6
4000,700,467,228.83,216,374.5,15,12,371.7
4000,700,467,228.83,216,374.5,20,12,458.7
4000,700,467,228.83,216,374.5,25,12,555.3
4000,700,467,228.83,216,374.5,15,15,526.1
4000,700,467,228.83,216,374.5,20,15,642.1
4000,700,467,228.83,216,374.5,25,15,763.8
4000,700,412,41.2,216,435,15,9,155.3
4000,700,412,41.2,216,435,20,9,220.1
4000,700,412,41.2,216,435,25,9,283.1
4000,700,412,41.2,216,435,15,12,257.1
4000,700,412,41.2,216,435,20,12,337.7
4000,700,412,41.2,216,435,25,12,439.0
4000,700,412,41.2,216,435,15,15,386.8
4000,700,412,41.2,216,435,20,15,479.4
4000,700,412,41.2,216,435,25,15,595.5
4000,700,412,119.48,216,201,15,9,198.8
4000,700,412,119.48,216,201,20,9,250.6
4000,700,412,119.48,216,201,25,9,277.0
